Site,Long,Lat,TP mg/kg,TN%,TC%,TN g/kg,TC g/kg,LOI %,Depth (m),sSRP,bSRP,sNOx,bNOx,sNH3,bNH3,sTemp,sCond,sSPC,sTDS,sSal,sDO (% sat),sDO (mg/L),sPressure,spH,sORP,sTurb (FNU),sChlor (RFU),sChlor (ug/L),sBGA-PC (RFU),sBGA-PC (ug/L),sBaro (mmHg),bTemp,bCond uS/cm,bSPC,bTDS,bSal,bDO (% sat),bDO (mg/L),bPressure,bpH,bORP,bTurb (FNU),bChlor (RFU),bChlor (ug/L),bBGA-PC (RFU),bBGA-PC (_g/L),bBaro (mmHg)
1,38.616361,-89.34225,1661.418816,0.305,2.5204,3.05,25.204,12.86039454,5.3302,0.067,0.098,0.325,0.33,0.2331,0.2595,16.578,343.6,409.5,266,0.2,79.2,7.72,14.55,8.22,250.7,12.72,4.03,16.22,1.04,1.11,753.6,17.024,352.2,415.5,270,0.2,66.5,5.95,14.548,8.01,244.2,16.89,3.94,15.88,1.07,1.14,753.5
2,38.625333,-89.347417,NA,NA,NA,NA,NA,NA,NA,0.046,0.046,0.342,0.38,0.1077,0.1601,16.775,342.8,405.6,264,0.2,91.7,8.87,14.551,8.52,257.3,12.87,3.42,13.78,0.88,1.15,753.5,17.235,347.2,407.7,265,0.2,90.3,8.66,14.549,8.44,258.7,13.46,3.79,15.28,1.14,1.16,753.3
3,38.61775,-89.328972,1456.485771,0.2763,2.3401,2.763,23.401,12.30972866,5.3302,0.057,0.099,0.325,0.301,0.1471,0.3284,16.923,343.6,406.2,264,0.2,87.5,8.45,14.573,8.5,253.3,13.24,4.51,18.14,1.12,1.2,753.4,15.874,341.1,413.2,269,0.2,61.3,6.04,14.582,8.28,268.6,19.53,3.301,13.67,0.99,1.06,753.5
4,38.628028,-89.306139,1562.288295,0.2618,2.2491,2.618,22.491,10.87692887,5.3302,0.032,0.045,0.343,0.325,0.0745,0.0994,17.215,343.4,403.3,262,0.19,100.2,9.62,14.618,8.6,254.1,10.61,4.82,19.4,1.3,1.24,753.2,17.069,345.8,407.5,265,0.2,90.5,8.67,14.59,8.57,248.6,173.69,5.28,22.73,1.92,2,753.3
5,38.632167,-89.317778,1373.139266,0.3035,2.5555,3.035,25.555,12.43797552,5.3302,0.015,0.042,0.265,0.292,0.0461,0.1075,17.689,344.3,400.2,260,0.19,114.8,10.93,14.727,8.81,229.3,11.07,5.55,25.16,2.06,2.13,753.3,16.858,345.8,409.4,266,0.2,88.9,8.6,14.59,8.67,246.9,15.92,4.57,18.39,1.31,1.38,753.3
6,38.636194,-89.285472,800.295858,0.1895,1.7779,1.895,17.779,9.171597633,3.3302,0.012,0.027,0.219,0.237,0.0469,1.4719,18.198,344.7,396.2,258,0.19,114.6,10.79,14.626,8.83,234,11.48,4.73,19.05,1.62,1.7,753.6,18.416,351.6,402.1,261,0.19,96.8,9.08,14.607,8.72,243.2,22.96,5.24,21.09,1.55,1.8,753.6
7,38.638722,-89.335667,1539.890897,0.2735,2.3246,2.735,23.246,11.66041596,5.3302,0.011,0.054,0.267,0.341,0.0605,0.1572,18.393,351.1,401.8,261,0.19,121.2,11.45,14.702,8.87,224,9.62,5.02,20.2,1.75,1.63,753.5,17.427,349.2,408.2,265,0.2,85.5,8.18,14.584,8.54,233.6,15.71,4.27,18.77,1.18,1.11,753.5
8,38.6425,-89.338222,805.1122195,0.0733,0.7947,0.733,7.947,4.962593516,1.3302,0.017,0.023,0.133,0.26,0.0465,0.0769,19.034,350.5,395.6,257,0.19,121.3,11.23,14.742,8.88,228.7,13.34,7.23,29.03,2.29,2.37,753.6,18.617,352.8,401.8,261,0.19,100.7,9.4,14.635,8.75,235.8,22.47,6.02,23.65,1.63,1.7,753.4
9,38.633278,-89.351472,776.2438491,0.1215,1.2561,1.215,12.561,5.494805905,2.3302,0.025,0.031,0.053,0.004,0.1013,0.0725,20.6,NA,381.2,NA,NA,138.6,12.47,NA,9.19,NA,NA,NA,NA,NA,NA,752.5,22.57,368.7,387.6,252,6.19,121.9,10.55,14.564,9.12,196,48.52,11.35,45.52,3.3,NA,NA
10,38.655306,-89.321944,1208.631189,0.2189,2.1257,2.189,21.257,9.346041832,5.3302,0,0.006,0.065,0.149,0.0836,0.1403,19.6,360.7,401.2,261,0.19,129.1,11.79,14.57,8.96,182.1,10.6,7.82,31.38,2.4,2.76,752,19.93,371,410.7,267,0.2,104.5,9.47,14.556,8.76,192.5,17.69,7.28,29.18,2.34,2.41,753
